reqPerEdgePerSecond;name;type;processing_earnings;storage_earnings;processed_reqs;delegated_reqs;no_executables
7700;Cloud;CLOUD;81111001,1750;94,4291;820179;0;10
7800;edge;EDGE;2728846,1937;94,4291;19976;916024;10
7800;intermediary;INTERMEDIARY;8559281,7837;94,4291;83710;832314;10
7800;Cloud;CLOUD;82303723,7041;94,4291;832314;0;10
7900;edge;EDGE;2729892,2283;94,4291;19979;928021;10
7900;intermediary;INTERMEDIARY;8536052,6608;94,4291;83713;844308;10
7900;Cloud;CLOUD;83522552,7735;94,4291;844308;0;10
8000;edge;EDGE;2720272,0609;94,4291;19879;940121;10
8000;intermediary;INTERMEDIARY;8563358,2423;94,4291;83709;856412;10
8000;Cloud;CLOUD;84706201,5053;94,4291;856412;0;10
8100;edge;EDGE;2737789,1515;94,4291;19974;952026;10
8100;intermediary;INTERMEDIARY;8546113,0661;94,4291;83532;868494;10
8100;Cloud;CLOUD;85903354,4568;94,4291;868494;0;10
8200;edge;EDGE;2741661,5385;94,4291;20018;963982;10
8200;intermediary;INTERMEDIARY;8532708,4786;94,4291;83652;880330;10
8200;Cloud;CLOUD;87106909,3698;94,4291;880330;0;10
8300;edge;EDGE;2733254,4654;94,4291;19930;976070;10
8300;intermediary;INTERMEDIARY;8536805,8017;94,4291;83393;892677;10
8300;Cloud;CLOUD;88315900,2275;94,4291;892677;0;10
8400;edge;EDGE;2753486,5603;94,4291;20041;987959;10
8400;intermediary;INTERMEDIARY;8544596,7975;94,4291;83398;904561;10
8400;Cloud;CLOUD;89488166,9957;94,4291;904561;0;10
8500;edge;EDGE;2742416,6373;94,4291;19957;1000043;10
8500;intermediary;INTERMEDIARY;8552166,5836;94,4291;83519;916524;10
8500;Cloud;CLOUD;90694513,2034;94,4291;916524;0;10
8600;edge;EDGE;2746116,5088;94,4291;19936;1012064;10
8600;intermediary;INTERMEDIARY;8530917,2631;94,4291;83426;928638;10
8600;Cloud;CLOUD;91909102,9895;94,4291;928638;0;10
8700;edge;EDGE;2757723,0286;94,4291;20002;1023998;10
8700;intermediary;INTERMEDIARY;8545332,6086;94,4291;83531;940467;10
8700;Cloud;CLOUD;93084068,8789;94,4291;940467;0;10
8800;edge;EDGE;2752588,0431;94,4291;19939;1036061;10
8800;intermediary;INTERMEDIARY;8540752,8834;94,4291;83412;952649;10
8800;Cloud;CLOUD;94293004,9193;94,4291;952649;0;10
8900;edge;EDGE;2758230,9332;94,4291;19985;1048015;10
8900;intermediary;INTERMEDIARY;8537358,7348;94,4291;83339;964676;10
8900;Cloud;CLOUD;95490370,3130;94,4291;964676;0;10
9000;edge;EDGE;2753250,5566;94,4291;19912;1060088;10
9000;intermediary;INTERMEDIARY;8545715,7019;94,4291;83327;976761;10
9000;Cloud;CLOUD;96683786,6665;94,4291;976761;0;10
9100;edge;EDGE;2759013,3561;94,4291;19949;1072051;10
9100;intermediary;INTERMEDIARY;8555964,5421;94,4291;83342;988709;10
9100;Cloud;CLOUD;97866835,4324;94,4291;988709;0;10
9200;edge;EDGE;2763274,3877;94,4291;19963;1084037;10
9200;intermediary;INTERMEDIARY;8538660,9796;94,4291;83264;1000773;10
9200;Cloud;CLOUD;99079565,7249;94,4291;1000773;0;10
9300;edge;EDGE;2769399,5309;94,4291;19996;1096004;10
9300;intermediary;INTERMEDIARY;8542326,1432;94,4291;83221;1012783;10
9300;Cloud;CLOUD;100271439,3496;94,4291;1012783;0;10
9400;edge;EDGE;2771841,7179;94,4291;19984;1108016;10
9400;intermediary;INTERMEDIARY;8553602,5377;94,4291;83246;1024770;10
9400;Cloud;CLOUD;101461335,7304;94,4291;1024770;0;10
9500;edge;EDGE;2775104,1900;94,4291;19978;1120022;10
9500;intermediary;INTERMEDIARY;8552499,8889;94,4291;83235;1036787;10
9500;Cloud;CLOUD;102654680,7988;94,4291;1036787;0;10
9600;edge;EDGE;2779460,9628;94,4291;20002;1131998;10
9600;intermediary;INTERMEDIARY;8535640,0561;94,4291;83160;1048838;10
9600;Cloud;CLOUD;103868494,0288;94,4291;1048838;0;10
9700;edge;EDGE;2777163,1888;94,4291;19958;1144042;10
